anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2009;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;13497;59681;663;6165;14160;65846
2014;VB;SETTORE EXTRALBERGHIERO;Agriturismo;1474;2924;883;2985;2357;5909
2015;VC;SETTORE EXTRALBERGHIERO;Affittacamere;2810;9961;1224;4053;4034;14014
2015;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;2690;22493;195;787;2885;23280
2017;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;9632;14623;9144;15101;18776;29724
2020;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;1927;7774;1215;6748;3142;14522
2021;AT;SETTORE EXTRALBERGHIERO;Country house;336;486;204;686;540;1172
2009;AL;SETTORE ALBERGHIERO;Albergo;148661;337464;60776;122539;209437;460003
2012;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;7796;17603;3243;8890;11039;26493
2017;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;2685;5319;508;1083;3193;6402
2018;NO;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;127;2174;235;1804;362;3978
2018;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1895;3418;786;1561;2681;4979
2019;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);5582;24006;19091;72405;24673;96411
2020;AL;SETTORE EXTRALBERGHIERO;Campeggio;1836;9131;1531;8903;3367;18034
2020;TO;SETTORE EXTRALBERGHIERO;Ostello;9819;50134;2927;21712;12746;71846
2009;AT;SETTORE EXTRALBERGHIERO;Agriturismo;10043;27156;8815;30758;18858;57914
2010;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2998;6638;2922;8096;5920;14734
2012;TO;SETTORE ALBERGHIERO;Albergo;1209423;2647610;412292;1022321;1621715;3669931
2018;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;23242;118682;13916;57912;37158;176594
2006;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2320;4757;1319;3489;3639;8246
2009;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;663;4580;658;4506;1321;9086
2011;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;227;308;227;263;454;571
2018;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);66912;270620;54627;287755;121539;558375
2008;TO;SETTORE EXTRALBERGHIERO;Campeggio;84230;697012;2132;4281;86362;701293
2009;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;1905;31241;1047;13338;2952;44579
2013;AL;SETTORE ALBERGHIERO;Albergo;160090;312708;94212;177767;254302;490475
2016;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;13659;24739;9099;23391;22758;48130
2021;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;671;1172;330;400;1001;1572
2006;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2613;6763;1719;4425;4332;11188
2011;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;4231;4839;0;0;4231;4839
2012;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1313;2326;203;639;1516;2965
2013;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4180;27011;12114;50962;16294;77973
2014;AL;SETTORE EXTRALBERGHIERO;Campeggio;1882;26882;2672;16728;4554;43610
2014;TO;SETTORE EXTRALBERGHIERO;Ostello;14371;46728;5359;38025;19730;84753
2019;AT;SETTORE ALBERGHIERO;Albergo;43000;76226;33312;75802;76312;152028
2021;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;1024;11752;444;3271;1468;15023
2008;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5467;13878;1488;4864;6955;18742
2011;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;2781;7254;1391;5046;4172;12300
2014;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);1938;17657;6860;52454;8798;70111
2016;CN;SETTORE EXTRALBERGHIERO;Affittacamere;25259;46900;25421;69892;50680;116792
2016;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;17428;79971;1141;5771;18569;85742
