anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2007;AL;SETTORE EXTRALBERGHIERO;Affittacamere;2698;6762;1804;4681;4502;11443
2007;CN;SETTORE EXTRALBERGHIERO;Campeggio;26268;115774;5453;23339;31721;139113
2017;TO;SETTORE EXTRALBERGHIERO;Agriturismo;10725;31234;3462;9578;14187;40812
2020;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3083;4977;2222;4167;5305;9144
2005;VB;SETTORE EXTRALBERGHIERO;Campeggio;28041;119000;117135;760242;145176;879242
2008;BI;SETTORE EXTRALBERGHIERO;Agriturismo;777;3299;144;362;921;3661
2010;TO;SETTORE EXTRALBERGHIERO;Affittacamere;5417;31379;1116;5277;6533;36656
2010;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;69755;457648;7626;59871;77381;517519
2014;NO;SETTORE EXTRALBERGHIERO;Agriturismo;3084;9913;2742;6852;5826;16765
2015;CN;SETTORE ALBERGHIERO;Albergo;223586;557576;155694;394959;379280;952535
2016;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;660;679;984;988;1644;1667
2021;VC;SETTORE ALBERGHIERO;Albergo;38879;97144;7794;16602;46673;113746
2008;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);27554;180787;11174;99610;38728;280397
2012;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;4597;7848;3531;8623;8128;16471
2014;CN;SETTORE EXTRALBERGHIERO;Agriturismo;25324;47188;30264;84023;55588;131211
2016;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1452;2531;608;980;2060;3511
2016;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;10150;23775;2317;5008;12467;28783
2020;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2096;6397;330;723;2426;7120
2007;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;8827;18878;3973;4295;12800;23173
2007;NO;SETTORE EXTRALBERGHIERO;Affittacamere;1730;10661;1085;4523;2815;15184
2013;VB;SETTORE ALBERGHIERO;Albergo;131411;348682;347519;1045200;478930;1393882
2013;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2735;2913;2533;3085;5268;5998
2008;AL;SETTORE ALBERGHIERO;Albergo;155885;344238;72135;151643;228020;495881
2011;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5510;12549;2980;9191;8490;21740
2016;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3790;6437;291;478;4081;6915
2017;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1775;3696;589;1279;2364;4975
2018;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);5375;23985;20932;67461;26307;91446
2019;AL;SETTORE EXTRALBERGHIERO;Campeggio;1389;8781;3914;22857;5303;31638
2019;TO;SETTORE EXTRALBERGHIERO;Ostello;22460;68457;7056;16258;29516;84715
2005;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;12914;248302;6767;143065;19681;391367
2005;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3039;13912;2153;9531;5192;23443
2005;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;8276;38081;548;2095;8824;40176
2018;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;21599;44578;9124;19372;30723;63950
2021;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;5082;19185;1564;6019;6646;25204
2008;AT;SETTORE EXTRALBERGHIERO;Agriturismo;9039;24721;8570;31646;17609;56367
2009;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2161;4611;2000;6470;4161;11081
2011;TO;SETTORE ALBERGHIERO;Albergo;1328360;3235368;198698;514382;1527058;3749750
2017;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;19351;89346;12079;65043;31430;154389
2008;NO;SETTORE ALBERGHIERO;Albergo;179735;346087;113613;255277;293348;601364
2011;AL;SETTORE EXTRALBERGHIERO;Agriturismo;12324;28575;6052;20944;18376;49519
2013;BI;SETTORE EXTRALBERGHIERO;Campeggio;5253;16944;826;1933;6079;18877
2015;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;4242;29657;22661;137032;26903;166689
2019;NO;SETTORE EXTRALBERGHIERO;Campeggio;30808;132211;35944;150378;66752;282589
2021;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;2063;7376;1090;4678;3153;12054
2009;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;35174;185200;3944;51142;39118;236342
2009;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3800;14956;2467;7189;6267;22145
2009;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;8282;41824;714;1978;8996;43802
2019;TO;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2005;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2243;4644;1438;4074;3681;8718
2007;CN;SETTORE EXTRALBERGHIERO;Agriturismo;14923;35498;15931;46611;30854;82109
2009;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1349;3521;413;1234;1762;4755
2013;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2024;3989;232;750;2256;4739
2015;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;9620;25513;4941;9415;14561;34928
2015;NO;SETTORE EXTRALBERGHIERO;Affittacamere;3849;10668;3879;8834;7728;19502
2015;NO;SETTORE EXTRALBERGHIERO;Casa per ferie;1837;13454;575;3052;2412;16506
2021;VB;SETTORE ALBERGHIERO;Albergo;119201;264527;168556;481001;287757;745528
2021;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;1922;2031;2278;2288;4200;4319
2012;AT;SETTORE EXTRALBERGHIERO;Agriturismo;13477;28938;11040;38772;24517;67710
2013;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3566;7682;4445;12090;8011;19772
2015;TO;SETTORE ALBERGHIERO;Albergo;1286470;2879778;513231;1319833;1799701;4199611
2021;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;14564;50935;9913;39876;24477;90811
2006;VB;SETTORE ALBERGHIERO;Albergo;149043;364480;308654;923223;457697;1287703
2006;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;1348;1360;1679;1783;3027;3143
2017;VB;SETTORE EXTRALBERGHIERO;Campeggio;23754;86822;120586;741768;144340;828590
2019;TO;SETTORE EXTRALBERGHIERO;Bivacco fisso;0;0;null;null;0;0
2020;BI;SETTORE EXTRALBERGHIERO;Agriturismo;2154;5088;564;2067;2718;7155
